0: {image: 0, match: 10}
1: {image: 1, match: 13}
2: {image: 2, match: 3}
3: {image: 2, match: 2}
4: {image: 3, match: 19}
5: {image: 4, match: 14}
6: {image: 5, match: 16}
7: {image: 6, match: 9}
8: {image: 7, match: 12}
9: {image: 6, match: 7}
10: {image: 0, match: 0}
11: {image: 8, match: 18}
12: {image: 7, match: 8}
13: {image: 1, match: 1}
14: {image: 4, match: 5}
15: {image: 9, match: 17}
16: {image: 5, match: 6}
17: {image: 9, match: 15}
18: {image: 8, match: 11}
19: {image: 3, match: 4}
